CYP	Drug Identifier	Isoform	CYP-Isoform
1A2	dinoprostone	1	1A2-1
1A2	dinoprostone	2	1A2-2
2D6	saquinavir	1	2D6-1
2D6	saquinavir	2	2D6-2
3A4	saquinavir	1	3A4-1
3A5	saquinavir	1	3A5-1
3A5	saquinavir	2	3A5-2
3A7	saquinavir	1	3A7-1
3A7	saquinavir	2	3A7-2
3A5	aldosterone	1	3A5-1
3A5	aldosterone	2	3A5-2
3A4	hydrocortisone	1	3A4-1
3A5	hydrocortisone	1	3A5-1
3A5	hydrocortisone	2	3A5-2
3A7	hydrocortisone	1	3A7-1
3A7	hydrocortisone	2	3A7-2
1A2	aminophenazone	1	1A2-1
1A2	aminophenazone	2	1A2-2
2C19	aminophenazone	1	2C19-1
2C8	aminophenazone	1	2C8-1
2C8	aminophenazone	2	2C8-2
2D6	aminophenazone	1	2D6-1
2D6	aminophenazone	2	2D6-2
3A4	aminophenazone	1	3A4-1
3A7	aminophenazone	1	3A7-1
3A7	aminophenazone	2	3A7-2
2A6	letrozole	1	2A6-1
3A4	letrozole	1	3A4-1
3A4	levacetylmethadol	1	3A4-1
3A5	levacetylmethadol	1	3A5-1
3A5	levacetylmethadol	2	3A5-2
3A7	levacetylmethadol	1	3A7-1
3A7	levacetylmethadol	2	3A7-2
1A2	methadone	1	1A2-1
1A2	methadone	2	1A2-2
2B6	methadone	1	2B6-1
2B6	methadone	2	2B6-2
2C19	methadone	1	2C19-1
2C8	methadone	1	2C8-1
2C8	methadone	2	2C8-2
2C9	methadone	1	2C9-1
2C9	methadone	2	2C9-2
2D6	methadone	1	2D6-1
2D6	methadone	2	2D6-2
3A4	methadone	1	3A4-1
3A5	methadone	1	3A5-1
3A5	methadone	2	3A5-2
3A7	methadone	1	3A7-1
3A7	methadone	2	3A7-2
3A4	prasterone	1	3A4-1
3A7	prasterone	1	3A7-1
3A7	prasterone	2	3A7-2
1A1	testosterone	1	1A1-1
1A1	testosterone	2	1A1-2
1A1	testosterone	3	1A1-3
2B6	testosterone	1	2B6-1
2B6	testosterone	2	2B6-2
2C19	testosterone	1	2C19-1
2C8	testosterone	1	2C8-1
2C8	testosterone	2	2C8-2
2C9	testosterone	1	2C9-1
